name,formername,status,address,city,state,zip,county,accreditedby,statelicenseno,initiallicensedate,licenseeffective,licenseexpire,licenseename,administratorname,source,link,documents,note,date_collected
BLESSED BEGINNINGS BIRTH CENTER,NA,Active,3950 S HWY 19,PALESTINE,TX,75801,ANDERSON,NA,150048,2016-04-11T00:00:00Z,NA,2020-04-30T00:00:00Z,NA,Kris Hohlt,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
"BLESSED BEGINNINGS CARE CENTER, INC.",NA,Active,2521 E MARKET STREET,NAPPANEE,IN,46550,ELKHART,NA,17-013752-1,NA,NA,2019-06-30T00:00:00Z,NA,Jamie Yoder,Indiana State Department of Health,https://www.in.gov/isdh/reports/QAMIS/birthcdir/wdirbc.htm,NA,NA,Aug-18
BLESSED BIRTHS FAMILY WELLNESS AND BIRTH CENTER,NA,Active,23 MILLS AVENUE,GREENVILLE,SC,29605,GREENVILLE,NA,BC-0003,NA,NA,2018-08-31T00:00:00Z,Blessed Births Inc,NA,South Carolina Department of Health and Environmental Control,http://www.scdhec.gov/Health/docs/LicensedFacilities/hrbc.pdf,NO DATA,NA,Aug-18
BLESSING BIRTH CENTER,NA,Active,"230 HOSPITAL DRIVE, SUITE A",UKIAH,CA,NA,MENDOCINO,NA,550002741,2014-05-15T00:00:00Z,2017-05-15T00:00:00Z,2018-05-14T00:00:00Z,Linda Dashiell,Linda Dashiell,California Department of Public Health,https://www.cdph.ca.gov/Programs/CHCQ/LCP/CalHealthFind/Pages/SearchResult.aspx?k=birth%20center&loc=,NA,NA,Jun-18
BLOOM WATERBIRTH AND WELLNESS CENTER,NA,Active,530 S MAIN,UKIAH,CA,95482,NA,Accredited by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,NA,Bloom Waterbirth and Wellness Center,http://www.bloomwaterbirth.com/find-us/,NO DATA,NA,Jun-18
BLOOMIN BABIES BIRTH CENTER LLC,NA,Active,2241 N 7TH STREET,GRAND JUNCTION,CO,NA,MESA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,PATTY KANDIKO,COLORADO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,https://www.colorado.gov/pacific/cdphe/categories/services-and-information/health/health-facilities,NA,NA,May-18
BLOOMING TREE MATERNITY AND WELLNESS CENTER,NA,Active,815 N MAIN STREET,BELTON,TX,76513,BELL,NA,150067,2018-03-29T00:00:00Z,NA,2020-03-31T00:00:00Z,NA,Ashley Cochran,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
BLOOMINGTON-NORMAL BIRTH CENTER,NA,Active,6 WESPORT COURT,BLOOMINGTON,IL,61704,McLean,Accredited by the Commission for the Accreditation of Birth Centers,4000031,NA,NA,2018-09-23T00:00:00Z,NA,NA,Department of Public Health,https://data.illinois.gov/dataset/idph-birthing-centers,https://www.documentcloud.org/documents/5032763-BLOOMINGTONBIRTHCENTER-IL.html,NA,Jun-18
BLOSSOM BIRTH CENTER,NA,Active,2928 NORTH 18TH PLACE,PHOENIX,AZ,NA,MARICOPA,Accredited by the Commission for the Accreditation of Birth Centers,UNC4901,NA,2017-09-25T00:00:00Z,2018-07-31T00:00:00Z,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,https://www.documentcloud.org/documents/5032717-Blossom-Birth-Center.html,NA,Oct-18
BOISE RIVER BIRTH CENTER,NA,Active,182 W STATE STREET,EAGLE,ID,83616,NA,NA,NA,NA,NA,NA,NA,NA,Boise River Birth Center,www.boisebirthcenter.com/,NA,NA,Jun-18
BOZEMAN BIRTH CENTER,NA,Active,601 WEST VILLARD,BOZEMAN,MT,59715,NA,NA,NA,NA,NA,NA,NA,NA,Montana Department of Health and Human Services,NA,NA,NA,Jul-18
BREATH OF LIFE WOMEN'S HEALTH AND BIRTH CENTER,NA,Active,1900 E BAY DRIVE,LARGO,FL,NA,Pinellas,Accredited by the Commission for the Accreditation of Birth Centers,329,NA,2017-08-02T00:00:00Z,2019-08-01T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032734-Breath-of-Life-FL.html,NA,Apr-18
BRIGHT EYES MIDWIFERY AND WILD RIVERS WOMENS HEALTH,NA,Active,"29135 ELLENSBURG AVENUE, PO BOX 1710",GOLD BEACH,OR,97444,CURRY,NA,07-1635,NA,NA,2018-12-31T00:00:00Z,NA,Shilo McKenzie,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,https://www.documentcloud.org/documents/5032792-BrightEyesMidwifery-OR.html,NA,Jul-18
BROOKHAVEN WOMEN'S HEALTH AND NATURAL BIRTH CENTER,NA,Active,1461 BROOKHAVEN DRIVE,HARRISONBURG,VA,22801,NA,NA,NA,NA,NA,NA,NA,NA,Brookhaven Women's Health and Natural Birth Center,http://www.brookhavenbirth.com/,NA,NA,Jun-18
BROOKLYN BIRTHING CENTER,NA,Active,2183 OCEAN AVENUE,BROOKLYN,NY,11229,NA,Accredited by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,NA,Brooklyn Birthing Center,http://www.brooklynbirthingcenter.com/,NO DATA,NA,Jun-18
CANYON MEDICAL CENTER,NA,Active,2100 SW CAMELOT COURT,PORTLAND,OR,97225,WASHINGTON,Accredited by the Commission for the Accreditation of Birth Centers,07-1629/OR071418,NA,NA,2018-12-31T00:00:00Z,NA,Leslie Hamlett,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,NA,Part of a clinic,Jul-18
CAROLINA WATERBIRTH,NA,Active,915 SOUTH STREET SUITE J,SIMPSONVILLE,SC,29681,GREENVILLE,NA,BC-0005,2008-09-30T00:00:00Z,NA,2018-10-31T00:00:00Z,Carolina Birth Center LLC,Sandy Glenn,South Carolina Department of Health and Environmental Control,http://www.scdhec.gov/Health/docs/LicensedFacilities/hrbc.pdf,NO DATA,NA,Aug-18
CASCADE MIDWIVES AND BIRTH CENTER,NA,Active,2808 COLBY AVENUE SUITE A,EVERRET,WA,98201,NA,NA,CBC.FS.00000024,NA,NA,2018-07-31T00:00:00Z,Cascade Midwives/Cascade Birth Center Inc PS,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,https://www.documentcloud.org/documents/5032805-Cascade-Midwives-and-Birth-Center-WA.html,NA,Oct-18
CELEBRATE BIRTH,NA,Active,1525 EDGEWATER BEACH DRIVE,LAKELAND,FL,NA,Polk,NA,268,NA,2017-01-30T00:00:00Z,2019-01-29T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032735-Celebrate-Birth-FL.html,NA,Apr-18
CENTER FOR BIRTH,NA,Active,1500 EASTLAKE AVENUE E,SEATTLE,WA,98102,NA,Accredited by the Commission for the Accreditation of Birth Centers,CBC.FS.60203814,NA,NA,2019-03-03T00:00:00Z,Center for Birth LLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,https://www.documentcloud.org/documents/5032806-Center-for-Birth-WA.html,NA,Oct-18
CENTRAL TEXAS BIRTH CENTER,NA,Active,101 W COOPERATIVE WAY SUITE 105,GEORGETOWN,TX,78626,WILLIAMSON,NA,150015,2011-03-10T00:00:00Z,NA,2019-03-31T00:00:00Z,NA,Heather Hilton,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
CHARLESTON BIRTH PLACE,NA,Active,9133 TIMBER STREET SUITE 101,NORTH CHARLESTON,SC,29406,CHARLESTON,Accredited by the Commission for the Accreditation of Birth Centers,BC-0007,2009-01-31T00:00:00Z,NA,2019-01-31T00:00:00Z,Charleston Birth Place,Lesley Rathbun,South Carolina Department of Health and Environmental Control,http://www.scdhec.gov/Health/docs/LicensedFacilities/hrbc.pdf,NO DATA,NA,Aug-18
CHERISHED BIRTH LLC,NA,Active,215 S VINE AVENUE,TYLER,TX,75702,SMITH,NA,150050,2016-08-12T00:00:00Z,NA,2018-08-31T00:00:00Z,NA,Melena Sandifer,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
CHEWELAH CREEK COMMUNITY BIRTH CENTER,NA,Pending,N 303 2ND STREET W,CHEWELAH,WA,99109,NA,NA,CBC.FS.60622137,NA,NA,NA,Chewelah Creek Community Birth Center LLC,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
CHOICES,NA,Under development,1203 POPLAR AVENUE,MEMPHIS,TN,38104,NA,NA,NA,NA,NA,NA,Memphis Center for Reproductive Health,Rebecca Terrell,Tennessee Department of Health,https://apps.health.tn.gov/facilityListings/,NA,Part of a clinic/healthcare system,Oct-18
COMMUNITY BIRTH CENTER,NA,Unknown,1320 2ND AVENUE EAST,KALISPELL,MT,59901,NA,NA,NO DATA,NA,NA,NA,NA,NA,Community Birth Center,https://communitybirthcenter.wordpress.com/,NO DATA,NA,Jul-18
COMMUNITY MIDWIFERY SERVICES,NA,Active,2121 MAIN STREET,NORMAN,OK,73069,NA,NA,NA,NA,NA,NA,NA,NA,Community Midwifery Services,http://cmsmidwife.com/contact-us/norman-ok/,NA,NA,Jun-18
COMMUNITY OF HOPE FAMILY HEALTH & BIRTH CENTER,NA,Active,801 17TH STREET NE,WASHINGTON,DC,20002,NA,Accredited by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,Kelly Sweeney McShane,DC Health,https://dchealth.dc.gov/node/179622,NO DATA,Part of a clinic/healthcare system,Jun-18
CONCORD BIRTH CENTER,NA,Active,254 N STATE STREET UNIT D,CONCORD,NH,3301,MERRIMACK,NA,3712,2011-04-13T00:00:00Z,2018-05-14T00:00:00Z,2019-03-31T00:00:00Z,NA,Cynthia Owen,New Hampshire Online Licensing,https://nhlicenses.nh.gov/verification/SearchResults.aspx,https://www.documentcloud.org/documents/5032771-CONCORDBIRTHCENTER-NH.html,NA,Aug-18
CONNECTICUT CHILDBIRTH AND WOMEN'S CENTER,NA,Active,94 LOCUST AVENUE,DANBURY,CT,6810,NA,Accredited by the Commission for the Accreditation of Birth Centers,MAT.0MH0004,NA,2009-07-01T00:00:00Z,2019-06-30T00:00:00Z,NA,NA,State of Connecticut eLicense,https://www.elicense.ct.gov/Lookup/DownloadRoster.aspx,https://www.documentcloud.org/documents/5046640-Connecticut-Child-Birth-and-Women-s-Center.html,NA,Jun-18
CONSCIOUS CHOICES BIRTH CENTER LLC,NA,Active,461 WEST CENTER STREET,SNOWFLAKE,AZ,85937,NA,NA,UNC9154,NA,NA,NA,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,NA,NA,Oct-18
CORPUS CHRISTI BIRTH CENTER PLLC,NA,Active,939 AYERS ST,CORPUS CHRISTI,TX,78404,NUECES,NA,150023,2012-06-05T00:00:00Z,NA,2020-06-30T00:00:00Z,NA,Elizabeth Overton,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
CORVALLIS BIRTH AND WOMEN'S HEALTH CENTER LLC,NA,Active,2314 NW KINGS BOULEVARD SUITE A,CORVALLIS,OR,97330,BENTON,Accredited by the Commission for the Accreditation of Birth Centers,07-1640/ORST0780,NA,NA,2018-12-31T00:00:00Z,NA,Susan Wegelt Heinz,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,NA,NA,Jul-18
COUNTRYSIDE BIRTHING PLACE,NA,Active,3060 JONES LANE,CLEARWATER,FL,NA,Pinellas,NA,337,NA,2018-03-04T00:00:00Z,2020-03-03T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032736-Countryside-FL.html,NA,Apr-18
CY-FAIR BIRTH CENTER,MAGNOLIA BIRTH CENTER,Active,"12850 JONES ROAD, SUITE # 105",HOUSTON,TX,77070,HARRIS,NA,150022,2012-05-15T00:00:00Z,NA,2018-05-31T00:00:00Z,NA,Patricia Ghaly,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
DALLAS BIRTH CENTER,NA,Active,4218 MAIN STREET,DALLAS,TX,75226,DALLAS,NA,150044,2015-06-24T00:00:00Z,NA,2019-06-30T00:00:00Z,NA,Kristine Tawater,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
DAR A LUZ BIRTH AND HEALTH CENTER,NA,Active,7708 4TH STREET NW,LOS RANCHES DE ALBUQUERQUE,NM,87107,NA,Accredited by the Commission for the Accreditation of Birth Centers,3564,NA,NA,NA,NA,NA,New Mexico Department of Health,NA,https://www.documentcloud.org/documents/5032776-DARALUZBIRTHCENTER-NM.html,NA,Jun-18
DAYSPRING MIDWIFERY LLC,NA,Active,1076 W HAYDEN AVENUE,HAYDEN,ID,83835,NA,NA,NA,NA,NA,NA,NA,NA,Dayspring Midwifery Services,http://cdastork.com/contact-us/,NA,NA,Jun-18
DEL MAR BIRTH CENTER,NA,Active,1416 EL CENTRO STREET SUITE 100,SOUTH PASADENA,CA,91030,NA,Accredited by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,NA,Del Mar Birth Center,https://www.delmarbirthcenter.com/,NO DATA,NA,Jun-18
DELIVERED WITH LOVE BIRTHING CENTER,NA,Active,403 S WASHINGTON STREET,KAUFMAN,TX,75142,KAUFMAN,NA,150049,2016-07-06T00:00:00Z,NA,2018-07-31T00:00:00Z,NA,Linda Turner,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
DENVER CENTER FOR BIRTH AND WELLNESS LLC,NA,Active,7261 S BROADWAY SUITE 103,LITTLETON,CO,NA,ARAPAHOE,NA,NA,NA,NA,2019-03-02T00:00:00Z,NA,KAREN LOUGHLIN,COLORADO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,https://www.colorado.gov/pacific/cdphe/categories/services-and-information/health/health-facilities,NA,NA,May-18
DIVINE DESIGN BIRTH CENTER LLC,NA,Active,428 WEST 34TH STREET,SAN ANGELO,TX,76903,TOM GREEN,NA,150040,2015-02-06T00:00:00Z,NA,2019-02-28T00:00:00Z,NA,Kelly Miller,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
EASTSIDE BIRTH CENTER,NA,Active,14700 NE 8TH STREET SUITE 115,BELLEVUE,WA,98007,NA,Accredited by the Commission for the Accreditation of Birth Centers,CBC.FS.00000022,NA,NA,2018-08-31T00:00:00Z,Eastside Birth Center PS,NA,Washington State Department of Health,https://fortress.wa.gov/doh/facilitysearch/,NA,NA,Oct-18
EDENWAY BIRTH CENTER,NA,Active,805 NORTH MAIN ST,CLEBURNE,TX,76033,JOHNSON,NA,150063,2012-02-03T00:00:00Z,NA,2020-02-28T00:00:00Z,NA,Caleb Bernardy,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
EDMOND BIRTH CENTER,NA,Active,14901 N KELLEY AVENUE,EDMOND,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,Edmond Birth Center,https://www.edmondbirthcenter.org/,NA,NA,Jun-18
FAMILY BIRTH AND WELLNESS CENTER,NA,Active,1901 SOUTH VENTURA AVENUE SUITE B,SPRINGFIELD,MO,65804,NA,NA,NO DATA,NA,NA,NA,NA,Dr. Teresa Sherard,Friends of Missouri Birth Centers,http://www.mobirthcenters.org/birth-centers,NO DATA,NA,Jul-18
FAMILY BIRTH CENTER,NA,Active,1406 16TH STREET,GREAT FALLS,MT,59404,CASCADE,NA,13139,2012-06-29T00:00:00Z,NA,2019-07-12T00:00:00Z,NA,Elaine Becker,Montana Department of Health and Human Services,https://qadlicensing.hhs.mt.gov/datamart/selSearchType.do,https://www.documentcloud.org/documents/5032769-FAMILYBIRTHCENTER-MT.html,NA,Jul-18
FAMILY BIRTH CENTER,NA,Active,662 COMAL AVENUE,NEW BRAUNFELS,TX,78130,COMAL,NA,8327,2006-02-09T00:00:00Z,NA,2020-02-29T00:00:00Z,NA,Galyn Lacewell,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046601-FamilyBirthCenter-TX.html,NA,Jun-18
FAMILY BIRTH SERVICES,NA,Active,814 DALWORTH,GRAND PRAIRIE,TX,75050,DALLAS,NA,7200,1986-11-26T00:00:00Z,NA,2019-11-30T00:00:00Z,NA,Betty Beasley,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
FAMILY BIRTH SERVICES,NA,Active,529 N CENTRAL RD,LIBBY,MT,59923,NA,NA,NO DATA,NA,NA,NA,NA,NA,Facebook,https://www.facebook.com/montanamidwife,NO DATA,NA,Jul-18
FAZ MATERNITY CENTER,NA,Active,300 EAST GARFIELD,DEL RIO,TX,78840,VAL VERDE,NA,7818,2001-12-01T00:00:00Z,NA,2019-12-31T00:00:00Z,NA,Myriam Faz,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
FEELS LIKE HOME BIRTH SUITES,NA,Unknown,90 E 200 S,PLEASANT GROVE,UT,84062,NA,NA,NO DATA,NA,NA,NA,NA,NA,Wayback Machine,https://web.archive.org/web/20100725012711/http://www.feelslikehomebirthsuites.com:80/?page_id=60,NO DATA,NA,Jul-18
FERN CREEK MIDWIVES,NA,Active,110 4TH ST WEST,KALISPELL,MT,59901,NA,NA,NO DATA,NA,NA,NA,NA,NA,Fern Creek Birth,http://ferncreekbirth.com/contact/,NO DATA,NA,Jul-18
FIRST BREATH MIDWIFERY CARE,NA,Unknown,1227 BROADWATER AVE,BILLINGS,MT,59105,NA,NA,NO DATA,NA,NA,NA,NA,NA,First Breath Midwifery Care,http://firstbreathmidwifery.com/birth_facility.php,NO DATA,NA,Jul-18
"FLAGSTAFF BIRTH AND WOMEN'S HEALTH, INC.",NA,Active,401 WEST ASPEN AVENUE,FLAGSTAFF,AZ,86001,COCONINO,Accredited by the Commission for the Accreditation of Birth Centers,OTC5841,NA,2017-10-01T00:00:00Z,2018-09-30T00:00:00Z,NA,NA,AZ Department of Health Services,http://www.azdhs.gov/licensing/index.php#databases,NA,NA,Oct-18
FOOTPRINTS MIDWIFERY,NA,Active,124 N MAIN STREET,GREENWOOD,WI,54437,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Footprints in Time Midwifery and Family Clinic,https://footprintsmidwifery.com/,NA,NA,Oct-18
FOOTPRINTS MIDWIFERY,NA,Active,502 MAIN STREET,BLACK RIVER FALLS,WI,54615,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Footprints in Time Midwifery and Family Clinic,https://footprintsmidwifery.com/,NA,NA,Oct-18
FORT WORTH BIRTHING AND WELLNESS CENTER,NA,Active,622 HEMPHILL,FORT WORTH,TX,76104,TARRANT,Accredited by the Commission for the Accreditation of Birth Centers,150034,2013-12-12T00:00:00Z,NA,2019-12-31T00:00:00Z,NA,Abigail Robinson,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
FREDERICK BIRTH CENTER,NA,Active,7420 HAYWARD ROAD SUITE 104,FREDERICK,MD,21702,NA,In process of accreditation by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,Mycal Pilia,Maryland Department of Health,https://health.maryland.gov/ohcq/Pages/Licensee-Directory.aspx,https://www.documentcloud.org/documents/5046733-FREDERICKBIRTHCENTER.html,NA,Jul-18
FRUITFUL VINE MIDWIFERY SERVICE,NA,Active,2221 UNIVERSITY BOULEVARD W,JACKSONVILLE,FL,NA,Duval,NA,324,NA,2018-04-29T00:00:00Z,2020-04-28T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032738-Fruitville-Vine-FL.html,NA,Apr-18
GALVESTON BIRTH CENTER,NA,Active,712 10TH STREET,GALVESTON,TX,77550,GALVESTON,NA,150055,2017-04-07T00:00:00Z,NA,2019-04-30T00:00:00Z,NA,Jaymee Boughton,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
GENEVA WOODS BIRTH CENTER,"WINDSONG MIDWIFERY, LLC",Active,2400 E 42ND AVENUE,ANCHORAGE,AK,99508,NA,Accredited by the Commission for the Accreditation of Birth Centers,FBC-003,2002-01-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
GENTLE BEGINNINGS BIRTH CENTER,NA,Active,1726 CHADWICK COURT SUITE 200,HURST,TX,76054,TARRANT,NA,150056,2017-01-27T00:00:00Z,NA,2019-01-31T00:00:00Z,NA,Michele Massey,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
GENTLE BIRTH OPTIONS,NA,Active,296 BAYSHORE DRIVE,NICEVILLE,FL,NA,Okaloosa,NA,340,NA,2018-01-18T00:00:00Z,2020-01-17T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,NA,NA,Apr-18
GOOD LIFE BIRTH PLACE,NA,Active,8020 O STREET,LINCOLN,NE,68510,LANCASTER,NA,HC078,2017-03-01T00:00:00Z,NA,2019-02-28T00:00:00Z,The Physician Network,"Barbara Brower, Kris Rock",Nebraska Department of Health and Human Services - Public Health,http://dhhs.ne.gov/publichealth/Documents/HC_ASC_ESRD%20Lic%20Roster.pdf,https://www.documentcloud.org/documents/5032770-GOODLIFEBIRTHPLACE-NE.html,NA,May-18
"GOSHEN BIRTH CENTER, INC.",NA,Active,1155 LIGHTHOUSE LANE,GOSHEN,IN,46526,ELKHART,Accredited by the Commission for the Accreditation of Birth Centers,18-005774-1,NA,NA,2018-12-31T00:00:00Z,NA,Betsy Black,Indiana State Department of Health,https://www.in.gov/isdh/reports/QAMIS/birthcdir/wdirbc.htm,NA,NA,Aug-18
GRACEFULL BIRTHING,NA,Active,2815 WEST SUNSET BOULEVARD,LOS ANGELES,CA,90026,NA,Accredited by the Commission for the Accreditation of Birth Centers,NO DATA,NA,NA,NA,NA,NA,Gracefull Birthing,http://www.gracefull.com/about-us/,NO DATA,NA,Jun-18
GRAPEVINE BIRTHING CENTER,NA,Active,409 W. WALL ST.,GRAPEVINE,TX,76051,TARRANT,NA,150036,2014-03-18T00:00:00Z,NA,2020-03-31T00:00:00Z,NA,Kimberly Daly,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NA,NA,Jun-18
GREAT BASIN BIRTH CENTER,NA,Under development,PO BOX 99,CARSON CITY,NV,89423,NA,NA,NA,NA,NA,NA,NA,NA,Great Basin Birth Center,http://www.greatbasinbirthcenter.com/,NA,NA,Jun-18
GREAT EXPECTATIONS BIRTH CARE,NA,Active,5801 S FASHION BOULEVARD SUITE 130,MURRAY,UT,84107,NA,NA,NO DATA,NA,NA,NA,NA,NA,Great Expectations Birth Care,http://www.greatexpectationsbc.com/,NO DATA,NA,Jul-18
GROWING FAMILIES MIDWIFERY SERVICE AND BIRTH CENTER LLC,NA,Active,3750 US 1 S SUITE A,SAINT AUGUSTINE,FL,NA,St. Johns,NA,338,NA,2017-11-07T00:00:00Z,2019-11-06T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,NA,NA,Apr-18
"GROWING FAMILY BIRTH CENTER, LLC",NA,Active,"701 N 5TH STREET, SUITE B-1010",LEBANON,OR,97355,LINN,Accredited by the Commission for the Accreditation of Birth Centers,07-1613/ORST0398,NA,NA,2018-12-31T00:00:00Z,NA,Steve Cowart,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,NA,NA,Jul-18
"HAVEN MIDWIFERY BIRTH CENTER, INC.",NA,Active,4050 LAKE OTIS PARKWAY,ANCHORAGE,AK,99508,NA,NA,FBC-019,2018-06-01T00:00:00Z,NA,2019-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
HEALING PASSAGES BIRTH AND WELLNESS CENTER,NA,Active,800 18TH STREET,DES MOINES,IA,50314,NA,Accredited by the Commission for the Accreditation of Birth Centers,NA,NA,NA,NA,NA,NA,Healing Passages Birth and Wellness Center,https://healingpassages.org/,NA,NA,Jun-18
HEALTH FOUNDATIONS LLC,NA,Active,968 GRAND AVENUE,ST PAUL,MN,55105,NA,Accredited by the Commission for the Accreditation of Birth Centers,HFID-27753,1/1/11,NA,NA,NA,NA,Minnesota Department of Health,http://www.health.state.mn.us/divs/fpc/directory/2018mdhdirectory.pdf,NO DATA,NA,Jun-18
"HEART 2 HEART BIRTH CENTER, LLC",NA,Active,1110 LEXINGTON GREEN LANE,SANFORD,FL,NA,Seminole,NA,328,NA,2017-05-29T00:00:00Z,2019-05-28T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032739-Heart-2-Heart.html,NA,Apr-18
HEARTS DESIRE MIDWIFERY CARE,NA,Active,226 LEE STREET,PEASTER,TX,76485,PARKER,NA,8495,2007-04-04T00:00:00Z,NA,2019-04-30T00:00:00Z,NA,Emily High,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046602-HeartsDesireMidwifery-TX.html,NA,Jun-18
HEAVENLY HANDS BIRTHING CENTER PLLC,NA,Active,908 NORTH GOLIAD,ROCKWALL,TX,75087,ROCKWALL,NA,150004,2010-01-21T00:00:00Z,NA,2020-01-31T00:00:00Z,NA,Tina Rowe,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046603-HeavenlyHandsBirthingCenter-TX.html,NA,Jun-18
